domain,module,status,completion_percent,evidence,tests,risks,next_action
Accessibilité,prefers-reduced-motion,IMPLÉMENTÉ MAIS NON VALIDÉ,60,Une règle @media (prefers-reduced-motion: no-preference) trouvée pour le smooth-scroll uniquement,Inspection du code,Transitions de composants (hover/theme) non couvertes par la media query,Étendre la couverture si jugé nécessaire
Performance,Poids du bundle JS/CSS,TERMINÉ ET VALIDÉ,95,CMD-008: 4.5 Ko JS (contact uniquement) + 9.5 Ko CSS pour tout le site,Mesure directe des fichiers dist/_astro,Aucun,RAS
Performance,Lazy loading + dimensions images,TERMINÉ ET VALIDÉ,100,Inspection dist/fr/projects/index.html: 6/6 balises img avec loading=lazy + width/height explicites; image hero (LCP) volontairement non lazy,Inspection du HTML généré,Aucun,RAS
Performance,Optimisation format images (WebP/AVIF),ABSENT,0,Toutes les images servies telles quelles (.jpg/.png) depuis public/images; aucun pipeline astro:assets détecté,Inspection du code et du build,FAIBLE - poids non minimal mais raisonnable,Envisager astro:assets ou une conversion WebP manuelle
Performance,Mesure Lighthouse,ABSENT,0,Aucun outil Lighthouse disponible dans cet environnement d'audit; aucun score inventé,Non testable dans ce lot,Score réel inconnu,Exécuter Lighthouse CI une fois le site déployé sur SITE_URL réel
Sécurité,Secrets commités,TERMINÉ ET VALIDÉ,100,CMD-016: aucun .env*, aucun secret réel détecté,grep ciblé,Aucun,RAS
Sécurité,Vecteurs XSS (innerHTML/set:html),TERMINÉ ET VALIDÉ,95,CMD-014: 0 innerHTML; 2 set:html sur données de confiance uniquement (JSON.stringify de constantes),Inspection du code,Aucun,RAS
Sécurité,Liens externes (rel=noopener),TERMINÉ ET VALIDÉ,100,CMD-014: 7/7 target=_blank accompagnés de rel=noopener noreferrer,grep ciblé,Aucun,RAS
Sécurité,Dépendance astro (CVE modérées),PARTIEL,50,"npm audit (CMD-015): astro <=7.0.9, 3 CVE modérées (XSS View Transitions, bypass security.checkOrigin, XSS renderHTMLElement)",npm audit,ÉLEVÉ - dépendance de production non corrigée; exploitabilité réduite car le site est 100% statique sans View Transitions ni middleware Hono actifs,Mettre à jour astro vers un correctif dès qu'il est disponible et compatible
Sécurité,Dépendances de tooling dev (9 CVE),PARTIEL,60,npm audit: fast-uri/js-yaml/nanoid/postcss/svgo/tar/undici/yaml via @astrojs/check uniquement,npm audit,FAIBLE - non livrées dans dist/,Mettre à jour @astrojs/check quand une version corrigée existe
Sécurité,Restriction de domaine clé publique EmailJS,IMPLÉMENTÉ MAIS NON VALIDÉ,0,Clé publique visible dans le code source (par conception EmailJS); restriction par domaine configurée sur le dashboard EmailJS externe non vérifiable depuis ce dépôt,Non vérifiable depuis le code,MOYEN - dépend d'une action manuelle externe déjà documentée au README,Confirmer manuellement sur le dashboard EmailJS (hors périmètre du dépôt)
Sécurité,Rate limiting formulaire de contact,PARTIEL,50,Rate limiting basé sur localStorage uniquement (client),Inspection du code,MOYEN - contournable par navigation privée ou purge du storage,Documenté comme limitation connue; envisager un rate limiting serveur si le trafic de spam devient un problème réel
Formulaire de contact,Structure et validation,TERMINÉ ET VALIDÉ,100,CMD-012: pas de champ fichier honeypot hors écran consentement required,Playwright ad hoc (CMD-012),Aucun,RAS
Formulaire de contact,Livraison réelle d'email,IMPLÉMENTÉ MAIS NON VALIDÉ,0,Dépend du service EmailJS externe; aucun envoi réel déclenché dans ce lot (portée non destructive),Non testé (délibérément, pour respecter l'interdiction de mutation),Inconnu - aucune preuve de bout en bout,Test manuel d'envoi réel par le PM/utilisateur hors de cet audit
Tests,Suite de tests automatisés du dépôt,ABSENT,0,"Aucun script test/test:unit/test:e2e dans package.json; aucun fichier de test dans l'inventaire (CMD-004)",N/A,ÉLEVÉ - aucune régression ne peut être détectée automatiquement,Définir une stratégie de test minimale (ex: Playwright smoke test versionné)
Tests,Lint,ABSENT,0,Aucun script lint dans package.json; aucune config ESLint/Prettier détectée,N/A,FAIBLE,Ajouter ESLint si la taille du projet le justifie
Déploiement,Hébergement configuré,ABSENT,0,Aucune configuration Vercel/Netlify/Cloudflare/GitHub Pages détectée dans le dépôt; README documente une intention Proxmox+Traefik non implémentée dans le dépôt,Inspection du dépôt,MOYEN - site non accessible publiquement à ce jour,Décision PM sur la plateforme cible
Déploiement,CI/CD,ABSENT,0,Aucun dossier .github/workflows,Inspection du dépôt,MOYEN,Créer un pipeline si la fréquence de changement le justifie
Documentation,README,TERMINÉ ET VALIDÉ,80,README.md relu intégralement; stack/structure/déploiement/i18n documentés avec précision,Comparaison documentation vs code (section 23),La liste des actions manuelles ne mentionne pas encore les écarts GitHub découverts dans ce lot,Mettre à jour le README après décision PM sur les liens GitHub
